FeatureID,mz,RT,DBE,C,H,O,N,S,P,Cl,Br,B,Se,I,H/C,O/C,N/C,AI-mod,DBE,DBE/C,C_log10,H_log10,H/C_log2
1492,249.1340451,1.407084062,7,12,16,2,4,0,0,0,0,0,0,0,1.333333333,0.166666667,0.333333333,0.571428571,7,0.583333333,1.079181246,1.204119983,0.415037499
1494,249.1540163,2.899538272,6,15,20,3,0,0,0,0,0,0,0,0,1.333333333,0.2,0,0.333333333,6,0.4,1.176091259,1.301029996,0.415037499
1522,253.1643025,0.837237854,5,12,20,2,4,0,0,0,0,0,0,0,1.666666667,0.166666667,0.333333333,0.285714286,5,0.416666667,1.079181246,1.301029996,0.736965594
1542,258.1334891,3.756937615,5.5,13,19,2,2,0,0,0,0,0,0,0,1.461538462,0.153846154,0.153846154,0.35,5.5,0.423076923,1.113943352,1.278753601,0.547487796
1550,259.0973853,7.982287843,9.5,13,12,3,3,0,0,0,0,0,0,0,0.923076923,0.230769231,0.230769231,0.764705882,9.5,0.730769231,1.113943352,1.079181246,-0.115477218
1551,259.114747,3.234610545,6,11,16,2,4,0,0,0,0,0,0,0,1.454545455,0.181818182,0.363636364,0.5,6,0.545454545,1.041392685,1.204119983,0.540568382
1552,259.1152235,3.507688299,4,12,18,6,0,0,0,0,0,0,0,0,1.5,0.5,0,0.111111111,4,0.333333333,1.079181246,1.255272505,0.584962501
1554,259.1502517,3.88270893,5,12,20,1,4,0,0,0,0,0,0,0,1.666666667,0.083333333,0.333333333,0.333333333,5,0.416666667,1.079181246,1.301029996,0.736965594
1560,260.2217311,8.288074811,1,14,29,3,1,0,0,0,0,0,0,0,2.071428571,0.214285714,0.071428571,0,1,0.071428571,1.146128036,1.462397998,1.050626073
1575,263.1638418,9.896973726,6,16,22,3,0,0,0,0,0,0,0,0,1.375,0.1875,0,0.310344828,6,0.375,1.204119983,1.342422681,0.459431619
1585,265.1286352,0.646342106,7,12,16,3,4,0,0,0,0,0,0,0,1.333333333,0.25,0.333333333,0.538461538,7,0.583333333,1.079181246,1.204119983,0.415037499
1586,265.1288377,1.20584365,7,12,16,3,4,0,0,0,0,0,0,0,1.333333333,0.25,0.333333333,0.538461538,7,0.583333333,1.079181246,1.204119983,0.415037499
1602,267.1443868,0.6429111,6,12,18,3,4,0,0,0,0,0,0,0,1.5,0.25,0.333333333,0.384615385,6,0.5,1.079181246,1.255272505,0.584962501
1603,267.1452632,0.882033797,6,12,18,3,4,0,0,0,0,0,0,0,1.5,0.25,0.333333333,0.384615385,6,0.5,1.079181246,1.255272505,0.584962501
1605,268.1536801,0.645589966,1,8,22,3,5,0,1,0,0,0,0,0,2.75,0.375,0.625,0,1,0.125,0.903089987,1.342422681,1.459431619
1611,270.1334481,3.063009416,6.5,14,19,2,2,0,0,0,0,0,0,0,1.357142857,0.142857143,0.142857143,0.409090909,6.5,0.464285714,1.146128036,1.278753601,0.440572591
1618,273.1294181,4.051108906,4,13,20,6,0,0,0,0,0,0,0,0,1.538461538,0.461538462,0,0.1,4,0.307692308,1.113943352,1.301029996,0.621488376
1628,275.1398797,4.736766097,8,15,18,3,2,0,0,0,0,0,0,0,1.2,0.2,0.133333333,0.47826087,8,0.533333333,1.176091259,1.255272505,0.263034406
1632,275.1632143,6.46546155,7,17,22,3,0,0,0,0,0,0,0,0,1.294117647,0.176470588,0,0.35483871,7,0.411764706,1.230448921,1.342422681,0.371968777
1633,275.1632135,6.836180729,7,17,22,3,0,0,0,0,0,0,0,0,1.294117647,0.176470588,0,0.35483871,7,0.411764706,1.230448921,1.342422681,0.371968777
1650,279.1338358,3.225527858,7,14,18,4,2,0,0,0,0,0,0,0,1.285714286,0.285714286,0.142857143,0.4,7,0.5,1.146128036,1.255272505,0.36257008
1664,281.1600466,2.122152007,6,13,20,3,4,0,0,0,0,0,0,0,1.538461538,0.230769231,0.307692308,0.333333333,6,0.461538462,1.113943352,1.301029996,0.621488376
1677,283.1374864,0.955865121,6,12,18,4,4,0,0,0,0,0,0,0,1.5,0.333333333,0.333333333,0.333333333,6,0.5,1.079181246,1.255272505,0.584962501
1678,283.1536139,7.926449604,5,15,22,5,0,0,0,0,0,0,0,0,1.466666667,0.333333333,0,0.2,5,0.333333333,1.176091259,1.342422681,0.552541023
1688,285.110276,2.135507511,6.5,12,17,2,4,0,0,1,0,0,0,0,1.416666667,0.166666667,0.333333333,0.5,6.5,0.541666667,1.079181246,1.230448921,0.502500341
1698,287.145174,4.625932833,4,14,22,6,0,0,0,0,0,0,0,0,1.571428571,0.428571429,0,0.090909091,4,0.285714286,1.146128036,1.342422681,0.652076696
