"","Alcohols and polyols","Alkyl phosphates","Alpha,beta-unsaturated carbonyl compounds","Alpha,beta-unsaturated ketones","Aminosaccharides","Androstane steroids","Carbonyl compounds","Carboxylic acid derivatives","Carboxylic acid esters","Carboxylic acids and derivatives","Cholines","Dialkyl phosphates","Dicarboxylic acids and derivatives","Disaccharides","Fatty acid esters","Fatty Acyls","Glycerophosphocholines","Glycerophospholipids","Lipids and lipid-like molecules","O-glycosyl compounds","Organic acids and derivatives","Organic cations","Organic oxides","Organic phosphoric acids and derivatives","Organic salts","Phosphate esters","Phosphatidylcholines","Phosphocholines","Quaternary ammonium salts","Secondary alcohols","Steroid esters","Tetraalkylammonium salts"
"7215",0.93,0.01,0.07,0.07,0.1,0,0.98,0.59,0.28,0.97,0,0,0.62,0.01,0.01,0.39,0,0,0.58,0.68,0.98,0,0.98,0.01,0.01,0,0,0.01,0,0.98,0,0
"7216",0.78,0.02,0.12,0.1,0.73,0,0.98,0.77,0.5,0.98,0,0,0.35,0.6,0.05,0.29,0,0,0.35,0.71,0.99,0.03,0.98,0.02,0.01,0.01,0,0.01,0.01,0.87,0.01,0.01
"7217",0.79,0.01,0.05,0.08,0.78,0,0.98,0.69,0.35,0.98,0,0,0.37,0.4,0.11,0.6,0,0,0.71,0.75,0.99,0.01,0.99,0.01,0.01,0.01,0,0.01,0,0.87,0,0
"7253",0.05,0,0.26,0.02,0,0.01,0.91,0.06,0.01,0.11,0,0,0,0,0,0.02,0,0,0.72,0,0.06,0.01,0.92,0,0,0,0,0,0,0.01,0,0
"7322",0.08,0.02,0.01,0.02,0,0,0.92,0.93,0.9,0.86,0,0.01,0.71,0,0.01,0.02,0,0,0.02,0,0.99,0.04,1,0,0.12,0,0.01,0,0,0.11,0,0
"7450",0.26,0,0,0.01,0,0.06,0.96,0.95,0.9,0.99,0,0,0.82,0,0.55,0.54,0,0.01,0.97,0,1,0,0.97,0,0,0,0.02,0,0,0.06,0.27,0
"8038",0.98,0.98,0.01,0,0,0,0.99,0.98,0.94,0.99,0,0.94,0.46,0,0.98,0.98,0,1,1,0,1,0,1,1,0,1,0,0,0,0.83,0,0
"8248",0.12,0,0.04,0.04,0,0.23,0.91,0.87,0.71,0.9,0,0,0.05,0,0.08,0.16,0,0,0.97,0,0.94,0.02,0.92,0,0.01,0,0,0,0,0.16,0.19,0
"8278",0.44,1,0,0.01,0,0,0.84,0.87,0.78,0.9,0,0.01,0.37,0,0.51,0.79,0.04,0.98,1,0,1,0,1,1,0,1,0,0.01,0,0.51,0,0
"8298",0.98,0.98,0,0,0,0,0.98,0.98,0.93,0.99,0,0.91,0.68,0,0.97,0.96,0,1,1,0,1,0,1,1,0,1,0,0,0,0.84,0,0
"8306",0.99,1,0,0,0,0,0.96,0.98,0.93,0.98,0,0.63,0.6,0,0.97,0.99,0,1,1,0,1,0,1,1,0,1,0,0,0,0.85,0,0
"8314",0.66,0.92,0,0,0,0,0.91,0.68,0.53,0.91,0,0.13,0.7,0,0.77,0.81,0.02,0.64,0.99,0,1,0.01,1,1,0.02,0.99,0.01,0.07,0.01,0.8,0,0.01
"8340",0.04,0,0.53,0.54,0,0,0.99,0.88,0.6,0.96,0,0,0.61,0,0.54,0.67,0.01,0,0.99,0,0.99,0,1,0,0,0,0.01,0,0,0.02,0.39,0
"8342",0.09,0,0.3,0.31,0,0,0.99,0.63,0.38,0.95,0,0.01,0.7,0.02,0.44,0.66,0,0,0.87,0,0.95,0,0.99,0,0.01,0,0.03,0.01,0,0.04,0.09,0
"8352",0.1,0,0.04,0.04,0,0.01,1,1,0.97,0.99,0,0,0.29,0,0.65,0.78,0,0,0.99,0,1,0,1,0,0,0,0.02,0,0,0.02,0.15,0
"8431",0.02,0,0.01,0.01,0,0.03,0.09,0.04,0,0.04,0,0,0,0,0,0.01,0,0,0.64,0,0.04,0.01,0.14,0,0,0,0,0,0,0,0,0
"8438",0.15,0,0.06,0.07,0,0.01,0.95,0.53,0.33,0.94,0,0,0.15,0,0.15,0.55,0,0,0.8,0.01,0.93,0.01,0.96,0,0.01,0,0,0.01,0,0.16,0,0
"8533",0.22,0.01,0.06,0.06,0,0.04,0.57,0.26,0.2,0.32,0.03,0.01,0.08,0,0.1,0.09,0.05,0,0.63,0.01,0.39,0.04,0.64,0,0.02,0.01,0.04,0.13,0.02,0.09,0.04,0.03
"8550",0.02,0.2,0.01,0.03,0,0.01,0.89,0.97,0.85,0.97,0,0.58,0.52,0,0.91,0.89,0.16,0.69,1,0,1,0.02,1,0.9,0.07,0.82,0.06,0.02,0,0,0.29,0
"8564",0.02,0,0.14,0.14,0,0.01,0.83,0.9,0.86,0.88,0,0.01,0.29,0.02,0.73,0.67,0,0,0.96,0.01,0.95,0,0.82,0,0.01,0,0.03,0,0,0.02,0.04,0
"8567",0.66,0,0,0,0.13,0,0.83,0.36,0.23,0.9,0,0,0.06,0,0.57,0.86,0,0,0.79,0.1,0.99,0.01,0.93,0.01,0,0.01,0,0,0,0.61,0,0
"8572",0.2,0.01,0.01,0.02,0,0,0.77,0.69,0.56,0.87,0,0.01,0.56,0,0.71,0.89,0,0.05,0.98,0,0.98,0.07,0.98,0.01,0.01,0.01,0.21,0.01,0,0.14,0,0.03
"8577",0.86,0,0.04,0.07,0,0.01,0.74,0.88,0.81,0.84,0,0.01,0.21,0.79,0.05,0.35,0,0,0.55,0.51,0.72,0,0.84,0,0,0,0,0.01,0,0.6,0.02,0
"8656",0.86,0.99,0,0,0,0,0.91,0.96,0.91,0.98,0,0.85,0.82,0,0.88,0.88,0.02,1,1,0,1,0.01,1,0.99,0.01,0.98,0.01,0.01,0,0.6,0,0
