feature_number,variable,response,importance
5012,mz,182.1177791,not
5016,mz,198.1146048,not
5019,mz,206.0451412,not
5022,mz,215.0904244,not
5024,mz,219.1382431,not
5033,mz,231.1380846,not
5035,mz,237.1841676,not
5039,mz,243.1214967,not
5040,mz,243.1217273,not
5041,mz,243.1590382,not
5043,mz,246.1353551,not
5045,mz,249.1235357,not
5046,mz,250.1801954,not
5052,mz,263.1636134,not
5054,mz,267.1217385,not
5056,mz,268.1176462,not
5057,mz,271.0741694,not
5059,mz,273.1648147,not
5061,mz,277.1056197,not
5064,mz,285.2420865,not
5065,mz,285.2420678,not
5066,mz,285.2420554,not
5067,mz,285.2420952,not
5068,mz,287.2000748,not
5069,mz,289.1212952,not
5070,mz,289.142025,not
5071,mz,289.1587113,not
5074,mz,297.2166707,not
5077,mz,299.200035,not
5078,mz,301.1612637,not
5080,mz,309.1055902,not
5081,mz,311.2574943,not
5082,mz,311.2575017,not
5086,mz,317.210948,not
5094,mz,331.1891492,not
5095,mz,333.1864847,not
5097,mz,339.1555918,not
5100,mz,340.3940678,not
5102,mz,343.1898407,not
5105,mz,349.1398644,not
5107,mz,351.1189751,not
5109,mz,353.1709923,not
5110,mz,355.1892528,not
5114,mz,357.2863324,important
5116,mz,363.1553448,not
5117,mz,363.2519442,not
5119,mz,365.134774,not
5120,mz,375.2165448,not
5121,mz,375.2157272,not
5126,mz,389.1729651,not
5127,mz,389.2308929,not
5130,mz,392.053051,not
5137,mz,399.2525804,not
5138,mz,400.2875014,not
5139,mz,403.2465105,not
5145,mz,415.2471844,important
5150,mz,424.2848811,not
5153,mz,438.0413337,not
5154,mz,439.1595773,not
5158,mz,454.2929818,not
5163,mz,465.2617992,not
5169,mz,482.3265558,not
5173,mz,487.2883748,not
5174,mz,494.3247589,not
5175,mz,495.441057,not
5176,mz,501.2830157,not
5181,mz,521.4565875,not
