,,Exp2_Pn-delicatissima_A_DOM_I,Exp2_Pn-delicatissima_A_DOM_II,Exp2_Pn-delicatissima_A_Unfil_I,Exp2_Pn-delicatissima_A_Unfil_II,Exp2_Pn-delicatissima_B_DOM_I,Exp2_Pn-delicatissima_B_DOM_II,Exp2_Pn-delicatissima_B_Unfil_I,Exp2_Pn-delicatissima_B_Unfil_II,Exp2_Pn-galaxiae_A_DOM_I,Exp2_Pn-galaxiae_A_DOM_II,Exp2_Pn-galaxiae_A_Unfil_I,Exp2_Pn-galaxiae_A_Unfil_II,Exp2_Pn-galaxiae_B_DOM_I,Exp2_Pn-galaxiae_B_DOM_II,Exp2_Pn-galaxiae_B_Unfil_I,Exp2_Pn-galaxiae_B_Unfil_II,Exp2_Pn-hasleana_A_DOM_I,Exp2_Pn-hasleana_A_DOM_II,Exp2_Pn-hasleana_A_Unfil_I,Exp2_Pn-hasleana_A_Unfil_II,Exp2_Pn-hasleana_B_DOM_I,Exp2_Pn-hasleana_B_DOM_II,Exp2_Pn-hasleana_B_Unfil_I,Exp2_Pn-hasleana_B_Unfil_II,Exp2_Pn-multiseries_A_DOM_I,Exp2_Pn-multiseries_A_DOM_II,Exp2_Pn-multiseries_A_Unfil_I,Exp2_Pn-multiseries_A_Unfil_II,Exp2_Pn-multiseries_B_DOM_I,Exp2_Pn-multiseries_B_DOM_II,Exp2_Pn-multiseries_B_Unfil_I,Exp2_Pn-multiseries_B_Unfil_II,Exp2_Pn-subpacifica_A_DOM_I,Exp2_Pn-subpacifica_A_DOM_II,Exp2_Pn-subpacifica_A_Unfil_I,Exp2_Pn-subpacifica_A_Unfil_II,Exp2_Pn-subpacifica_B_DOM_I,Exp2_Pn-subpacifica_B_DOM_II,Exp2_Pn-subpacifica_B_Unfil_I,Exp2_Pn-subpacifica_B_Unfil_II
5958,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0
5974,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0
6043,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
6045,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6063,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0
6078,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
6079,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0
6089,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1
6094,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1
6104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
6106,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1
6111,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
6117,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
6121,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1
6159,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
6177,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
6191,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6193,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
6212,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
6215,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1
6299,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
6313,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
6386,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
6399,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1
6424,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
