variable,p_value,FDR
Organonitrogen compounds,0.5730072515486473,0.8841012215579029
Organophosphorus compounds,0.4577783095126973,0.7644034036202587
Organopnictogen compounds,0.65840800510675,0.9641889203239937
Organosulfonamides,0.8780877463819599,0.9999999996246786
Organosulfonic acids,0.8180065934353271,0.9999999996246786
Organosulfonic acids and derivatives,0.4275142970040191,0.7319003106944374
Organosulfur compounds,0.67688847712109,0.976705927585051
Organothiophosphorus compounds,0.9542706960314726,0.9999999996246786
Ortho amides,0.2685874449835146,0.5592938560244952
Orthocarboxylic acid derivatives,0.2853750202161512,0.5873416113751019
Oxacyclic compounds,0.06615035416601661,0.22582921570216494
Oxadiazoles,0.23843663739253168,0.523181216757993
Oxanes,0.8893975467789987,0.9999999996246786
Oxazinanes,0.26471248469693653,0.5555823295417917
Oxazolidinones,0.28423449668850664,0.5872704970490157
Oxepanes,0.9843233005772272,0.9999999996246786
Oxime ethers,0.37108851612348703,0.6724726478228134
Oxolanes,0.007526121763176443,0.07382324584470969
Oxosteroids,0.028180870066199785,0.14383286783752014
p-Hydroxybenzoic acid esters,0.049944221731564195,0.19781044876946946
Pentose phosphates,0.006261941970519717,0.06731361442220206
Pentoses,0.0011903555134204998,0.0403101904955541
Peptides,0.029561371100658814,0.14383286783752014
Peptidomimetics,0.0063383817723354115,0.06731361442220206
Phenanthrenes and derivatives,0.9968095358435968,0.9999999996246786
Phenazines and derivatives,0.7434633256340776,0.9999999996246786
Phenethylamines,0.212121292417846,0.4918620361304639
Phenol ethers,0.01619557310238226,0.10617097922672815
Phenols,0.03685519974327475,0.16041074642359748
Phenoxy compounds,0.06783666509147686,0.22798271622515326
Phenylalanine and derivatives,0.16177480921790233,0.411226263612332
Phenylcarbamic acid esters,0.10807720087911457,0.311896704710923
Phenylketones,0.5431785025721159,0.848357074815472
Phenylmethylamines,0.42866477707338985,0.7319003106944374
Phenylpropanes,0.995804952345722,0.9999999996246786
Phenylpropanoic acids,0.12269955184209633,0.33951090659036576
Phenylpropanoids and polyketides,0.1169852352736565,0.3304210634591042
Phosphate esters,0.10788304812715349,0.311896704710923
Phosphatidylcholines,0.9812201851894978,0.9999999996246786
Phosphatidylethanolamines,0.9939593634627744,0.9999999996246786
Phosphocholines,0.8775951436602754,0.9999999996246786
Phosphoethanolamines,0.791604452804751,0.9999999996246786
Phosphonic acid esters,0.4512365963447361,0.7558568853597946
Piperazines,0.0020333833891919713,0.04161168810839415
Piperidinecarboxylic acids,0.4759639875415377,0.7873422971481512
Piperidinecarboxylic acids and derivatives,0.7138718719708355,0.991040844894372
Piperidines,0.9256449525587296,0.9999999996246786
Polycyclic hydrocarbons,0.5745861783581617,0.8841012215579029
Polyols,0.005313362000968676,0.06198539271923526
Porphyrins,0.09990751146567736,0.29309883197941816
Prenol lipids,0.9646419361824464,0.9999999996246786
Primary alcohols,0.12276100577278762,0.33951090659036576
Primary amines,0.35118168428021385,0.6651417867392205
Primary carboxylic acid amides,0.12069375907853927,0.3373072951089703
Proline and derivatives,0.214114253385841,0.4943246458603547
"Propargyl-type 1,3-dipolar organic compounds",0.014249021881941297,0.10508653637931706
Prostaglandins and related compounds,0.964122478419613,0.9999999996246786
Pteridines and derivatives,0.005027535919333138,0.06198539271923526
Purine nucleosides,0.01090457357459627,0.0871809452029563
Purine nucleotides,0.016112920737633186,0.10617097922672815
Purine ribonucleoside monophosphates,0.01100023225724684,0.0871809452029563
Purine ribonucleotides,0.02703449983549818,0.13937203313251975
Purines and purine derivatives,0.009117874952820246,0.083475717240475
Purinones,0.021141948367314974,0.12613904025892417
Pyranones and derivatives,0.5024428234585328,0.8158933922216541
Pyrans,0.018521039281257635,0.11597376625658322
Pyrazines,0.020429173331189106,0.12468840274553351
Pyrazolines,0.3294603505530401,0.6351705895248588
Pyridinecarboxylic acids,0.0016701020544297367,0.0403101904955541
Pyridinecarboxylic acids and derivatives,6.269737898026106e-4,0.025609467875783557
Pyridines and derivatives,0.03338890290919432,0.1523501637308377
Pyrimidine nucleosides,0.03552138262454029,0.15718211811359079
Pyrimidine nucleotides,0.26763921909408683,0.5592938560244952
Pyrimidine ribonucleotides,0.023301186162474428,0.13304225647606369
Pyrimidines and pyrimidine derivatives,6.082716750345079e-4,0.025609467875783557
Pyrimidones,0.0059751800733340585,0.06610042956125803
Pyrrole carboxylic acids,0.010648649272281393,0.0871809452029563
Pyrrole carboxylic acids and derivatives,0.005186477977784671,0.06198539271923526
Pyrroles,0.16185741825796118,0.411226263612332
Pyrrolidine-2-ones,0.5280436905555724,0.8394946098353562
Pyrrolidine carboxylic acids,0.15683425734333942,0.4062389787771377
Pyrrolidine carboxylic acids and derivatives,0.055435064318674544,0.20584628778472855
Pyrrolidinecarboxamides,0.02901764094834428,0.14383286783752014
Pyrrolidines,0.8559864576563951,0.9999999996246786
Pyrrolidones,0.7148185378428333,0.991040844894372
Pyrrolines,0.2464376928954069,0.5341159792957594
Pyrrolizines,0.629541198453585,0.937513259328119
Quaternary ammonium salts,0.9027185094667707,0.9999999996246786
Quinolidines,0.9999980498813771,0.9999999996246786
Quinolines and derivatives,0.7177493624480298,0.9925127902601661
Quinolizidines,0.9406163992057703,0.9999999996246786
Quinones,0.9837680565494735,0.9999999996246786
Quinoxalines,0.35790718590877957,0.6668375990089893
Ribonucleoside 3'-phosphates,0.9400070061638119,0.9999999996246786
Salicylic acid and derivatives,0.12808176017499795,0.3465680632269566
Secondary alcohols,0.001605953730391416,0.0403101904955541
Secondary amines,0.11576461544098694,0.3287219828832303
Secondary carboxylic acid amides,0.011799358981566907,0.09080376259727577
Secondary ketimines,0.3270052644193472,0.6351705895248588
Serine and derivatives,0.12485592347854875,0.3435155200368362
Sesquiterpenoids,0.9917640694110856,0.9999999996246786
Sphingolipids,0.9999999996246786,0.9999999996246786
Steroid esters,0.0973610517524097,0.2904422386546604
Steroid lactones,0.1900824137200393,0.4551489987017144
Steroidal glycosides,0.5400172841761742,0.848357074815472
Steroids and steroid derivatives,0.15887207826235372,0.4095197745500477
Straight chain fatty acids,0.9677085851529885,0.9999999996246786
Styrenes,0.1265952330239074,0.34476374201610743
Substituted imidazoles,0.004105806519707816,0.05737324373591711
Substituted pyrroles,0.13056408350516144,0.3501491330365693
Sugar acids and derivatives,0.1926493128178739,0.45668207636737074
Sulfenyl compounds,0.8220668984505372,0.9999999996246786
Sulfinyl compounds,0.6306122158820634,0.937513259328119
Sulfones,0.8917929674820482,0.9999999996246786
Sulfonyls,0.6193172720230196,0.9316075678306611
Sulfoxides,0.7512398451500278,0.9999999996246786
Sulfuric acid monoesters,0.3115306517355755,0.6190230766756749
Terpene lactones,0.7255406189146435,0.9980882607349111
