feature,Pn-delicatissima,Pn-galaxiae,Pn-hasleana,Pn-multiseries,Pn-subpacifica,MeanDecreaseAccuracy,MeanDecreaseGini,mean_decrease_important,multiseries_important,delicatissima_important,galaxiae_important,hasleana_important,subpacifica_important
X8507,9.999999999999997e-7,-1.1666666666666665e-5,3.9999999999999996e-005,-6.666666666666667e-6,5.2333333333333336e-5,1.6485042735042737e-5,0.0013251718719876613,not important,not important,not important,not important,not important,not important
X8508,5.840000000000001e-4,1.743333333333333e-4,2.3547619047619044e-4,6.61904761904762e-5,1.8999999999999998e-5,2.206376695200224e-4,0.012089203884579297,not important,not important,not important,not important,not important,not important
X8509,1.1666666666666668e-4,1.4333333333333336e-5,1.3333333333333337e-4,1.2233333333333332e-4,9.573333333333335e-4,2.5962548321991046e-4,0.011898643469569642,not important,not important,not important,not important,not important,not important
X8510,9.000000000000002e-6,-1.1899999999999997e-4,2.83e-4,4.7333333333333336e-5,1.2033333333333334e-4,6.711415510873714e-5,0.00855396757500663,not important,not important,not important,not important,not important,not important
X8511,1.946666666666667e-4,1.1266666666666668e-4,1.2700000000000002e-4,1.666666666666667e-4,9.81e-4,3.3321205411375666e-4,0.013288179987053422,not important,not important,not important,not important,not important,not important
X8512,4.933333333333334e-5,6.666666666666665e-6,-3e-5,-1.0666666666666667e-5,2e-5,9.9508547008547e-6,0.0017137784167838615,not important,not important,not important,not important,not important,not important
X8514,0,0,-4e-6,0,0,-1.25e-6,3.2214285714285716e-4,not important,not important,not important,not important,not important,not important
X8515,1.2333333333333334e-5,5.0333333333333335e-5,0,5e-6,2.2333333333333335e-5,1.9894068693604295e-5,0.0031215520619176863,not important,not important,not important,not important,not important,not important
X8516,5.4000000000000005e-5,-5.3333333333333286e-6,5.466666666666667e-5,4e-6,0,2.073369930722872e-5,0.003195977049782003,not important,not important,not important,not important,not important,not important
X8517,-5e-6,2e-5,8.333333333333332e-6,6.666666666666667e-6,0,3.076923076923077e-6,3.814195804195805e-4,not important,not important,not important,not important,not important,not important
X8518,7.400000000000001e-5,4.333333333333333e-5,1.1666666666666668e-5,1.0366666666666663e-4,7.236666666666667e-4,1.91532110046816e-4,0.007992970736633399,not important,not important,not important,not important,not important,not important
X8519,6.666666666666667e-6,-1e-5,2e-5,0,0,5.621794871794872e-6,7.090537240537242e-4,not important,not important,not important,not important,not important,not important
X8520,1.0499999999999998e-4,7.3e-5,5.3666666666666666e-5,1.0833333333333331e-4,7.763333333333334e-4,2.3620687851879797e-4,0.00901633670712462,not important,not important,not important,not important,not important,not important
X8521,4.166666666666667e-5,2.9999999999999994e-5,8.633333333333332e-5,1.2666666666666666e-4,6.35e-4,1.9222997135303637e-4,0.008229740370696566,not important,not important,not important,not important,not important,not important
X8522,0,4.599999999999999e-5,5.833333333333334e-5,8.000000000000001e-6,0,2.102568922305764e-5,0.0019585364178305357,not important,not important,not important,not important,not important,not important
X8523,0,3.733333333333333e-5,2.5e-5,1.5666666666666667e-5,0,1.7096530920060333e-5,6.084824064824064e-4,not important,not important,not important,not important,not important,not important
X8524,1.0333333333333334e-4,1.1999999999999998e-4,1.0766666666666666e-4,2.5833333333333334e-4,9.836666666666665e-4,3.0687164469517405e-4,0.014491490645997413,not important,not important,not important,not important,not important,not important
